game_date,player_name,yellow_cards,min_yc
1986-09-27,Mark Hughes,1.0,
1986-09-27,Ronnie Moore,1.0,
1986-09-27,Andy Thorpe,1.0,
1986-10-11,Graham Bell,1.0,
1986-10-11,Ronnie Moore,1.0,
1986-10-11,Billy O'Rourke,1.0,
1986-10-11,Frank Worthington,1.0,
1987-02-14,Andy Thorpe,1.0,
1987-02-14,Johnny Morrissey,1.0,
1987-02-14,Steve Mungall,1.0,
1987-03-21,Alan Hay,1.0,
1987-03-21,Graham Bell,1.0,
1987-03-21,Steve Vickers,1.0,
1987-08-18,Dave Martindale,1.0,
1987-09-15,Steve Mungall,1.0,
1987-09-15,Mark McCarrick,1.0,
1988-08-29,Jim Steel,1.0,
1988-09-05,Ronnie Moore,1.0,
1988-09-05,Johnny Morrissey,1.0,
1988-11-12,Johnny Morrissey,1.0,
1988-11-12,Dave Higgins,1.0,
1989-02-18,Dave Higgins,1.0,
1990-02-06,Johnny Morrissey,1.0,
1990-02-06,Dave Higgins,1.0,
1990-02-17,Mark McCarrick,1.0,
1990-02-17,Neil McNab,1.0,
1990-04-16,Tony Thomas,1.0,
1990-04-23,Tony Thomas,1.0,
1990-05-05,Ian Muir,1.0,
1990-05-27,Shaun Garnett,1.0,
1990-05-27,Steve Vickers,1.0,
1990-09-01,Ian Muir,1.0,
1990-09-01,Jim Steel,1.0,
1990-12-29,Eric Nixon,1.0,
1990-12-29,Dave Higgins,1.0,
1991-02-26,Tony Thomas,1.0,
1991-02-26,Jim Steel,1.0,
1991-03-05,Tony Thomas,1.0,
1991-06-01,Chris Malkin,1.0,
1991-08-27,Kenny Irons,1.0,
1991-08-27,Tony Thomas,1.0,
1991-08-27,Dave Higgins,1.0,
1991-08-27,Neil McNab,1.0,
1991-10-04,Neil McNab,1.0,
1991-10-12,Ged Brannan,1.0,
1991-10-12,Dave Martindale,1.0,
1991-10-12,Kenny Irons,1.0,
1991-10-12,Steve Vickers,1.0,
1992-01-04,Kenny Irons,1.0,
1992-04-04,Jim Steel,1.0,
1992-04-04,Tony Thomas,1.0,
1993-01-02,Neil McNab,1.0,
1993-03-06,Ged Brannan,1.0,
1993-08-28,Dave Higgins,1.0,
1993-08-28,John Aldridge,1.0,
1993-08-28,Eric Nixon,1.0,
1994-02-05,Ian Nolan,1.0,
1994-02-05,Mark Hughes,1.0,
1994-02-05,Dave Higgins,1.0,
1994-02-23,John McGreal,1.0,
1994-04-12,John McGreal,1.0,
1994-04-12,Ged Brannan,1.0,
1995-02-11,Ged Brannan,1.0,
1995-02-11,Gary Jones,1.0,
1995-02-25,Tony Thomas,1.0,
1995-09-09,Shaun Teale,1.0,
1995-09-16,Ian Moore,1.0,
1995-09-16,Gary Bennett,1.0,
1995-09-23,Kenny Irons,1.0,
1995-09-23,Ged Brannan,1.0,
1995-09-30,Gary Stevens,1.0,
1995-10-07,Gary Stevens,1.0,
1995-11-08,Shaun Teale,1.0,
1995-11-19,Graham Branch,1.0,
1995-11-19,Gary Jones,1.0,
1995-11-19,Gary Bennett,1.0,
1995-11-19,John McGreal,1.0,
1995-11-22,Tony Thomas,1.0,
1995-11-25,Shaun Garnett,1.0,
1995-11-25,Tony Thomas,1.0,
1995-12-02,Tony Thomas,1.0,
1995-12-02,Shaun Garnett,1.0,
1995-12-09,Ian Moore,1.0,
1995-12-09,Shaun Teale,1.0,
1995-12-16,Danny Coyne,1.0,
1995-12-16,Ged Brannan,1.0,
1995-12-16,Shaun Teale,1.0,
1995-12-23,Gary Bennett,1.0,
